iter	Passed	Remaining
0	120	120252
1	121	60436
2	122	40562
3	122	30540
4	123	24551
5	124	20561
6	124	17706
7	125	15557
8	126	13884
9	126	12546
10	127	11458
11	128	10550
12	128	9786
13	129	9125
14	130	8556
15	131	8059
16	131	7623
17	132	7227
18	133	6876
19	133	6560
20	135	6300
21	136	6049
22	136	5805
23	137	5589
24	138	5383
25	138	5190
26	139	5018
27	139	4857
28	140	4707
29	141	4568
30	141	4433
31	142	4310
32	143	4193
33	143	4085
34	144	3984
35	145	3889
36	145	3797
37	146	3711
38	147	3628
39	147	3546
40	148	3470
41	149	3402
42	149	3336
43	150	3269
44	151	3206
45	151	3148
46	152	3090
47	153	3036
48	153	2984
49	154	2932
50	155	2884
51	155	2838
52	156	2793
53	157	2750
54	157	2708
55	158	2667
56	158	2628
57	159	2590
58	160	2554
59	160	2517
60	161	2482
61	161	2450
62	163	2429
63	163	2396
64	164	2365
65	165	2337
66	165	2307
67	165	2275
68	166	2246
69	167	2219
70	167	2193
71	168	2167
72	168	2143
73	169	2119
74	170	2097
75	170	2073
76	171	2052
77	171	2031
78	172	2009
79	172	1988
80	173	1967
81	174	1949
82	174	1930
83	175	1911
84	175	1891
85	176	1872
86	176	1853
87	177	1838
88	177	1821
89	178	1805
90	179	1789
91	179	1773
92	180	1757
93	180	1743
94	181	1729
95	182	1716
96	182	1703
97	183	1689
98	184	1677
99	185	1665
100	185	1652
101	186	1637
102	186	1625
103	187	1613
104	187	1601
105	188	1589
106	188	1577
107	189	1566
108	190	1554
109	190	1542
110	191	1536
111	192	1529
112	193	1518
113	194	1509
114	194	1499
115	195	1489
116	196	1479
117	196	1470
118	197	1459
119	197	1450
120	198	1440
121	198	1430
122	199	1419
123	199	1410
124	200	1401
125	200	1392
126	201	1384
127	201	1374
128	202	1365
129	202	1356
130	203	1349
131	204	1341
132	205	1338
133	207	1339
134	207	1331
135	208	1324
136	209	1319
137	210	1313
138	210	1306
139	211	1299
140	212	1294
141	214	1297
142	215	1291
143	216	1286
144	217	1279
145	217	1273
146	218	1267
147	219	1262
148	219	1256
149	221	1257
150	222	1252
151	223	1246
152	224	1241
153	224	1234
154	225	1228
155	226	1223
156	226	1216
157	227	1210
158	227	1205
159	228	1201
160	229	1195
161	229	1189
162	230	1183
163	231	1177
164	231	1172
165	232	1166
166	232	1160
167	233	1155
168	233	1149
169	234	1144
170	235	1141
171	236	1137
172	236	1132
173	237	1127
